audit_id,gen1_s,verdict1,n_hints,gen2_s,verdict2,final,unknown_tables_1,unknown_columns_1,unknown_tables_2,unknown_columns_2,sql2,question
591,10.3,FAIL,0,,,REFUSED_DOMAIN,StaffVerificationMaster,UserAccountRoleDetails.Branch_Id,,,SELECT COUNT(*) AS PendingVerifications FROM Staff_Master sm INNER JOIN StaffVerificationMaster svm ON sm.Staff_ID = svm.StaffID WHERE sm.BranchID IN (SELECT Branch_Id FROM UserAccountRoleDetails WHERE UserID = @UserId) AND (svm.IsDeleted IS NULL OR svm.IsDeleted = 0) AND svm.VerificationStatus_ID = 1,How many new staff background verification checks are pending completion?
590,21.5,FAIL,0,25.2,FAIL,FAIL_BOTH,PerformanceAppraisalPeriod; PerformanceAppraisal_Details; PerformanceAppraisal_Master; PerformanceScaleDetails; PerformanceScaleMaster,,PerformanceAppraisal_Details,StaffDesignationMaster.DesignationName; Staff_Master.DesignationID,"SELECT sm.Staff_FirstName + ' ' + sm.Staff_LastName AS StaffName, sad.DesignationName, paf.AppraisalYear, paf.Score FROM PerformanceAppraisal_Details paf INNER JOIN Staff_Master sm ON paf.StaffID = sm.Staff_ID INNER JOIN StaffDesignationMaster sad ON sm.DesignationID = sad.ID WHERE paf.BranchID IN (SELECT BranchID FROM UserAccountRoleDetails WHERE UserID = @UserId) AND paf.AppraisalYear = (SELECT MAX(AppraisalYear) FROM PerformanceAppraisal_Details WHERE BranchID IN (SELECT BranchID FROM UserAccountRoleDetails WHERE UserID = @UserId)) AND paf.Score < 2 AND paf.PAStatus = 'Completed' ORDER BY paf.Score ASC",Can you list staff members whose recent performance appraisal scores are below the expected threshold?
589,9.5,FAIL,4,23.8,FAIL,FAIL_BOTH,,LeaveEntryMaster.NetPay; LeaveEntryMaster.PaidAmount; UserAccountRoleDetails.Branch_Id,,GenerateSalaryEmployee_Master.PaidAmount,"SELECT SUM(gsem.NetPay - gsem.PaidAmount) AS TotalPending FROM GenerateSalaryEmployee_Master gsem INNER JOIN GenerateSalary_Master gsm ON gsem.HeaderID = gsm.ID WHERE gsm.MonthID = MONTH(DATEADD(MONTH, -1, GETDATE())) AND gsm.AcademicYearID IN (SELECT Id FROM Branch_Academic_Details WHERE GETDATE() BETWEEN Start_Date AND End_Date AND Branch_Id IN (SELECT BranchID FROM UserAccountRoleDetails WHERE UserID = @UserId)) AND gsem.IsDeleted = 0",What is the total amount of staff advance or salary loan pending recovery?
587,21.2,FAIL,2,25.4,PASS,PASS_RETRY,Biometric_Attendance,UserAccountRoleDetails.Branch_Id,,,"SELECT lem.Staff_ID, sm.Staff_FirstName + ' ' + sm.Staff_LastName AS StaffName, COUNT(*) AS Discrepancies FROM LeaveEntryMaster lem INNER JOIN Staff_Master sm ON lem.Staff_ID = sm.Staff_ID WHERE (lem.IsDeleted = 0 OR lem.IsDeleted IS NULL) AND lem.LeaveStatus_ID = 1 AND lem.BranchID IN (SELECT BranchID FROM UserAccountRoleDetails WHERE UserID = @UserId) AND MONTH(lem.LeaveFromDate) = MONTH(GETDATE()) AND YEAR(lem.LeaveFromDate) = YEAR(GETDATE()) GROUP BY lem.Staff_ID, sm.Staff_FirstName + ' ' + sm.Staff_LastName HAVING COUNT(*) > 0",Are there any discrepancies between biometric attendance and approved leave applications this month?
584,14.3,FAIL,1,21.7,FAIL,FAIL_BOTH,,SubjectAllocation_Master.ClassLevel; UserAccountRoleDetails.Branch_Id,,Staff_Master.StaffDOJ; SubjectAllocation_Master.ClassLevel,"SELECT CAST(AVG(CAST(YearsOfExperience AS FLOAT)) AS DECIMAL(5,2)) AS AvgExperience FROM ( SELECT DATEDIFF(YEAR, sm.StaffDOJ, GETDATE()) AS YearsOfExperience FROM SubjectAllocation_Master sam JOIN Staff_Master sm ON sam.Staff_ID = sm.Staff_ID WHERE sam.ClassLevel IN ('Senior', 'Higher') AND (sam.IsDeleted = 0 OR sam.IsDeleted IS NULL) AND sm.StaffStatus_ID = 1 AND sam.BranchID IN (SELECT BranchID FROM UserAccountRoleDetails WHERE UserID = @UserId) ) AS Experience",What is the average years of experience of the teaching faculty in the senior secondary wing?
583,14.6,FAIL,3,21.6,FAIL,FAIL_BOTH,,Staff_Master.IsPOCSOCompleted; Staff_Master.IsPOSHCompleted; UserAccountRoleDetails.Branch_Id,,Staff_Master.IsPOCSOCompleted; Staff_Master.IsPOSHCompleted,"SELECT sm.Staff_ID, sm.Staff_FirstName + ' ' + sm.Staff_LastName AS StaffName FROM Staff_Master sm WHERE (sm.IsPOSHCompleted IS NULL OR sm.IsPOSHCompleted = 0) AND (sm.IsPOCSOCompleted IS NULL OR sm.IsPOCSOCompleted = 0) AND sm.BranchID IN (SELECT BranchID FROM UserAccountRoleDetails WHERE UserID = @UserId) AND sm.StaffStatus_ID = 1",Which staff members have not completed their mandatory POSH or child safety (POCSO) training?
579,20.1,FAIL,2,25.2,PASS,PASS_RETRY,,UserAccountRoleDetails.Branch_Id,,,"SELECT CAST(COUNT(DISTINCT CASE WHEN lem.LeaveStatus_ID = 1 THEN lem.Staff_ID END) * 100.0 / NULLIF(COUNT(DISTINCT lem.Staff_ID), 0) AS DECIMAL(5,2)) AS AttritionRate FROM LeaveEntryMaster lem WHERE lem.BranchID IN (SELECT BranchID FROM UserAccountRoleDetails WHERE UserID = @UserId AND IsDeleted = 0) AND lem.AcademicYearID IN (SELECT Id FROM Branch_Academic_Details WHERE GETDATE() BETWEEN Start_Date AND End_Date AND Branch_Id IN (SELECT BranchID FROM UserAccountRoleDetails WHERE UserID = @UserId AND IsDeleted = 0))",What is the staff attrition or turnover rate for the current academic year?
578,20.8,FAIL,4,26.9,PASS,PASS_RETRY,,LeaveEntryMaster.Branch_Id; LeaveEntryMaster.From_Date; LeaveEntryMaster.To_Date; UserAccountRoleDetails.Branch_Id,,,"SELECT CASE WHEN sm.StaffType_ID = 1 THEN 'Teaching' ELSE 'Non-Teaching' END AS StaffCategory, COUNT(*) AS OnLeave FROM LeaveEntryMaster lem JOIN Staff_Master sm ON lem.Staff_ID = sm.Staff_ID WHERE (lem.IsDeleted = 0 OR lem.IsDeleted IS NULL) AND lem.LeaveStatus_ID = 1 AND CAST(GETDATE() AS DATE) BETWEEN lem.LeaveFromDate AND lem.LeaveToDate AND lem.BranchID IN (SELECT BranchID FROM UserAccountRoleDetails WHERE UserID = @UserId) GROUP BY CASE WHEN sm.StaffType_ID = 1 THEN 'Teaching' ELSE 'Non-Teaching' END",How many teaching and non-teaching staff members are on leave today?
577,22.7,PASS,0,,,PASS_FIRST,,,,,,What is the current teacher-to-student ratio across the school?
576,19.0,FAIL,1,26.5,FAIL,FAIL_BOTH,,ExamConfigurationEvaluationDetails.EvalHierID; ExamConfigurationEvaluationDetails.IsRetracted; ExamConfigurationEvaluationDetails.StudentID; ProgressCardDataRetrieval.AcademicYearName; ProgressCardDataRetrieval.ProgressCardEvaluationHierarchyID; UserAccountRoleDetails.Branch_Id,ExamEvaluationDetails,ProgressCardDataRetrieval.AcademicYearName,"SELECT CAST(COUNT(DISTINCT CASE WHEN ed.IsRetracted = 1 THEN ed.StudentID END) * 100.0 / NULLIF(COUNT(DISTINCT ed.StudentID), 0) AS DECIMAL(5,2)) AS ReevaluationRate FROM ExamEvaluationDetails ed INNER JOIN ProgressCardDataRetrieval pcr ON ed.ProgressCardID = pcr.ID WHERE pcr.AcademicYearName IN ('SA-III', 'SA-IV') AND pcr.BranchID IN (SELECT BranchID FROM UserAccountRoleDetails WHERE UserID = @UserId)",What is the rate of re-evaluation or re-checking requests for the recent board exams?
575,20.8,PASS,0,,,PASS_FIRST,,,,,,"How many students have opted for each subject combination in Class 11 (Science, Commerce, Arts/Humanities)?"
573,24.1,FAIL,5,32.9,FAIL,FAIL_BOTH,,Student_Master.ShiftName; UserAccountRoleDetails.Branch_Id,,StudentMarkDetails.Student_ID; Student_Master.ShiftName,"SELECT CASE WHEN sm.ShiftName = 'Morning' THEN 'Morning' ELSE 'Evening' END AS Shift, CAST(AVG(smd.Marks) AS DECIMAL(5,2)) AS AvgMarks, COUNT(DISTINCT sm.ID) AS StudentCount FROM StudentMarkDetails smd INNER JOIN StudentMarkMaster smm ON smd.HeaderID = smm.ID INNER JOIN Student_Master sm ON smd.Student_ID = sm.ID WHERE smd.BranchID IN (SELECT BranchID FROM UserAccountRoleDetails WHERE UserID = @UserId) AND smd.Deleted = 0 AND (smd.Others IS NULL OR smd.Others NOT IN ('NA', 'NT', 'OP')) AND smm.Deleted = 0 GROUP BY CASE WHEN sm.ShiftName = 'Morning' THEN 'Morning' ELSE 'Evening' END",What is the academic performance comparison between the morning and evening shifts (if applicable)?
572,18.9,FAIL,2,21.0,PASS,PASS_RETRY,,Subject_Master.DepartmentName; UserAccountRoleDetails.Branch_Id,,,SELECT COUNT(DISTINCT pc.StudentID) AS StudentsPending FROM ProgressCardDataRetrieval pc WHERE pc.SubjectTypeID = 2 AND (pc.Marks IS NULL OR pc.Marks = '') AND pc.BranchID IN (SELECT BranchID FROM UserAccountRoleDetails WHERE UserID = @UserId) AND pc.AcademicYearID IN (SELECT Id FROM Branch_Academic_Details WHERE GETDATE() BETWEEN Start_Date AND End_Date AND Branch_Id IN (SELECT BranchID FROM UserAccountRoleDetails WHERE UserID = @UserId)),How many practical exam marks are pending submission for the science departments?
571,10.5,FAIL,1,13.0,FAIL,FAIL_BOTH,EvaluationMasterDetails,UserAccountRoleDetails.Branch_Id,,EvaluationMaster.GradeEntryDate; EvaluationMaster.TestDate,"SELECT AVG(DATEDIFF(DAY, em.TestDate, em.GradeEntryDate)) AS AvgDaysToGrade FROM EvaluationMaster em WHERE em.BranchID IN (SELECT BranchID FROM UserAccountRoleDetails WHERE UserID = @UserId) AND em.IsDeleted = 0 AND em.GradeEntryDate IS NOT NULL",What is the average time taken by teachers to grade and publish exam results after the test?
569,11.2,FAIL,2,15.3,FAIL,FAIL_BOTH,,UserAccountRoleDetails.Branch_Id,,ProgressCardDataRetrieval.Subject_ID,"SELECT cm.Name AS ClassName, COUNT(DISTINCT pc.Subject_ID) AS SubjectCount FROM ProgressCardDataRetrieval pc JOIN ClassMaster cm ON pc.ClassID = cm.ID WHERE (pc.IsDeleted = 0 OR pc.IsDeleted IS NULL) AND pc.BranchID IN (SELECT BranchID FROM UserAccountRoleDetails WHERE UserID = @UserId) GROUP BY cm.Name ORDER BY cm.Name",What is the syllabus completion rate for each class as per teacher logs in the ERP?
568,14.5,PASS,0,,,PASS_FIRST,,,,,,How many students are currently enrolled in remedial or extra coaching classes?
566,18.6,FAIL,2,20.2,PASS,PASS_RETRY,,StudentMarkDetails.GradePoint; StudentMarkDetails.IsDeleted; UserAccountRoleDetails.Branch_Id,,,"SELECT bad.Name AS AcademicYear, CAST(AVG(pc.GradePoint) AS DECIMAL(3,2)) AS AvgGPA FROM ProgressCardDataRetrieval pc JOIN Branch_Academic_Details bad ON pc.AcademicYearID = bad.Id WHERE (pc.IsDeleted IS NULL OR pc.IsDeleted = 0) AND pc.BranchID IN (SELECT BranchID FROM UserAccountRoleDetails WHERE UserID = @UserId) GROUP BY bad.Name ORDER BY bad.Name",What is the average GPA/CGPA trend across the school over the last 3 years?
559,20.6,PASS,0,,,PASS_FIRST,,,,,,How many students are marked present in class but have not swiped their RFID/ID cards at the gate?
555,16.4,PASS,0,,,PASS_FIRST,,,,,,What is the daily average attendance trend compared to the same month last year?
553,15.0,FAIL,3,22.9,FAIL,FAIL_BOTH,LeaveTypeMaster,LeaveEntryMaster.Branch_Id; LeaveEntryMaster.Student_ID; UserAccountRoleDetails.Branch_Id,,LeaveEntryMaster.Student_ID,SELECT COUNT(*) AS MedicalLeaveCount FROM LeaveEntryMaster lem INNER JOIN Student_Master sm ON lem.Student_ID = sm.ID INNER JOIN LeaveType lt ON lem.LeaveType_ID = lt.ID WHERE lt.Name LIKE '%Medical%' AND (lem.IsDeleted = 0 OR lem.IsDeleted IS NULL) AND lem.LeaveStatus_ID = 1 AND MONTH(lem.LeaveFromDate) = MONTH(GETDATE()) AND YEAR(lem.LeaveFromDate) = YEAR(GETDATE()) AND sm.BranchID IN (SELECT BranchID FROM UserAccountRoleDetails WHERE UserID = @UserId),How many medical leave requests were submitted by students this month?
549,13.9,FAIL,1,39.5,FAIL,FAIL_BOTH,,UserAccountRoleDetails.Branch_Id,,StudentAttendance.SectionID,"SELECT DISTINCT sm.ID, ISNULL(sm.FirstName, '') + ' ' + ISNULL(sm.MiddleName, '') + ' ' + ISNULL(sm.LastName, '') AS StudentName, cm.Name AS ClassName, secm.Name AS SectionName, sa.Attendance_Date AS FirstAbsentDate FROM StudentAttendance sa JOIN Student_Master sm ON sa.Student_ID = sm.ID JOIN ClassMaster cm ON sa.Class_ID = cm.ID JOIN SectionMaster secm ON sa.SectionID = secm.ID WHERE sa.Attendance_Status_ID = 2 AND sa.BranchID IN (SELECT BranchID FROM UserAccountRoleDetails WHERE UserID = @UserId) AND sa.AcademicYearID IN (SELECT Id FROM Branch_Academic_Details WHERE GETDATE() BETWEEN Start_Date AND End_Date AND Branch_Id IN (SELECT BranchID FROM UserAccountRoleDetails WHERE UserID = @UserId)) AND NOT EXISTS (SELECT 1 FROM StudentAttendance sa2 WHERE sa2.Student_ID = sa.Student_ID AND sa",Can you list students who have been absent for more than 3 consecutive days?
546,21.2,FAIL,2,25.7,PASS,PASS_RETRY,,Student_Master.AdharNo; Student_Master.UDISEPlus,,,"SELECT sad.StudentID, sm.FirstName + ' ' + sm.LastName AS StudentName, cm.Name AS ClassName, secm.Name AS SectionName FROM StudentAcademicDetail sad JOIN Student_Master sm ON sad.StudentID = sm.ID JOIN ClassMaster cm ON sad.ClassID = cm.ID JOIN SectionMaster secm ON sad.SectionID = secm.ID WHERE (sad.IsTCIssued = 0 OR sad.IsTCIssued IS NULL) AND sad.AcademicYearID IN (SELECT Id FROM Branch_Academic_Details WHERE GETDATE() BETWEEN Start_Date AND End_Date AND Branch_Id IN (@UserId)) AND (sm.AdhaarCardNo IS NULL OR sm.AdhaarCardNo = '')",Can you provide a list of students whose Aadhaar or UDISE+ details are missing or incomplete?
544,12.9,FAIL,3,20.4,FAIL,FAIL_BOTH,,StudentAcademicDetail.TCNo; TCRequest.Reason; TCRequest.TC_No,,StudentAcademicDetail.TCNo; TCRequest.TC_No,"SELECT COUNT(DISTINCT sad.StudentID) AS TransferredOut, tcr.ReasonforLeaving FROM StudentAcademicDetail sad JOIN Branch_Academic_Details bad ON sad.AcademicYearID = bad.Id LEFT JOIN TCRequest tcr ON sad.TCNo = tcr.TC_No WHERE GETDATE() BETWEEN bad.Start_Date AND bad.End_Date AND bad.Branch_Id IN (SELECT BranchID FROM UserAccountRoleDetails WHERE UserID = @UserId) AND sad.IsTCIssued = 1","How many students transferred out mid-session, and what were the primary reasons recorded?"
543,14.8,FAIL,0,16.9,FAIL,FAIL_BOTH,,Student_Master.CommunicationPinCode,,Student_Master.CommunicationPinCode,"SELECT sm.CommunicationPinCode, COUNT(DISTINCT sad.StudentID) AS StudentCount FROM StudentAcademicDetail sad JOIN Student_Master sm ON sad.StudentID = sm.ID WHERE (sad.IsTCIssued = 0 OR sad.IsTCIssued IS NULL) AND sad.AcademicYearID IN (SELECT Id FROM Branch_Academic_Details WHERE GETDATE() BETWEEN Start_Date AND End_Date AND Branch_Id IN (@UserId)) GROUP BY sm.CommunicationPinCode ORDER BY StudentCount DESC",What is the geographical distribution (pincode-wise) of our current student base?
541,16.0,FAIL,2,19.4,FAIL,FAIL_BOTH,,ClassMaster.MaxStrength,,ClassMaster.MaxStrength,"SELECT cm.Name AS ClassName, COUNT(DISTINCT sad.StudentID) AS StudentCount FROM StudentAcademicDetail sad JOIN Student_Master sm ON sad.StudentID = sm.ID JOIN ClassMaster cm ON sad.ClassID = cm.ID WHERE (sad.IsTCIssued = 0 OR sad.IsTCIssued IS NULL) AND sad.AcademicYearID IN (SELECT Id FROM Branch_Academic_Details WHERE GETDATE() BETWEEN Start_Date AND End_Date AND Branch_Id IN (@UserId)) GROUP BY cm.Name HAVING COUNT(DISTINCT sad.StudentID) > cm.MaxStrength",Are there any classes where the student strength exceeds the CBSE/State Board prescribed limit?
539,12.8,FAIL,1,15.7,FAIL,FAIL_BOTH,,ApplicationEntry.AdmissionTypeName; UserAccountRoleDetails.Branch_Id,,ApplicationEntry.AdmissionTypeName,SELECT COUNT(*) AS WaitingListCount FROM ApplicationEntry ae INNER JOIN ApplicationStatus_Master asm ON ae.ApplicationStatus_ID = asm.ID WHERE ae.AdmissionTypeName LIKE '%Nursery%' OR ae.AdmissionTypeName LIKE '%KG%' AND asm.Name = 'Waiting List' AND ae.BranchID IN (SELECT BranchID FROM UserAccountRoleDetails WHERE UserID = @UserId),How many students are currently on the waiting list for Nursery and KG admissions?
538,18.8,FAIL,2,16.0,FAIL,FAIL_BOTH,ApplicationMode_Master,ApplicationEntry.Mode_ID; UserAccountRoleDetails.Branch_Id,,ApplicationEntry.Application_Mode; ApplicationEntry.Student_ID,"SELECT ae.Application_Mode AS Source, COUNT(DISTINCT ae.Student_ID) AS Admissions FROM ApplicationEntry ae WHERE (ae.IsDeleted = 0 OR ae.IsDeleted IS NULL) AND ae.BranchID IN (SELECT BranchID FROM UserAccountRoleDetails WHERE UserID = @UserId) GROUP BY ae.Application_Mode ORDER BY Admissions DESC","From which sources (website, referrals, walk-ins, social media ads) are we getting the most admissions?"
536,11.1,FAIL,2,15.8,FAIL,FAIL_BOTH,,StudentAcademicDetail.IsRTE; UserAccountRoleDetails.Branch_Id,,StudentAcademicDetail.IsRTE,SELECT COUNT(DISTINCT sad.StudentID) AS rte_admissions FROM StudentAcademicDetail sad JOIN Branch_Academic_Details b ON sad.AcademicYearID = b.Id WHERE sad.IsRTE = 1 AND GETDATE() BETWEEN b.Start_Date AND b.End_Date AND b.Branch_Id IN (SELECT BranchID FROM UserAccountRoleDetails WHERE UserId = @UserId),How many students were admitted under the RTE quota this academic year?
534,16.6,FAIL,2,25.4,FAIL,FAIL_BOTH,,ClassMaster.TotalSeats,,ClassSectionMaster.Branch_Id; StudentAcademicDetail.ClassSectionID,"SELECT TOP 1 cm.Name AS ClassName, secm.Name AS SectionName, csm.TotalSeats - COUNT(sad.Id) AS Vacant FROM ClassSectionMaster csm INNER JOIN ClassMaster cm ON csm.Class_Id = cm.ID INNER JOIN SectionMaster secm ON csm.Section_Id = secm.ID LEFT JOIN StudentAcademicDetail sad ON csm.Id = sad.ClassSectionID AND (sad.IsTCIssued = 0 OR sad.IsTCIssued IS NULL) WHERE csm.AcademicYearID IN (SELECT Id FROM Branch_Academic_Details WHERE GETDATE() BETWEEN Start_Date AND End_Date AND Branch_Id IN (@UserId)) AND csm.Branch_Id IN (@UserId) GROUP BY cm.Name, secm.Name, csm.TotalSeats ORDER BY Vacant DESC",Which class has the highest number of vacant seats for the upcoming academic session?
525,21.4,FAIL,4,20.7,PASS,PASS_RETRY,,UserAccountRoleDetails.Branch_Id,,,"SELECT AVG(DATEDIFF(DAY, fc.Bill_Date, GETDATE())) AS AvgDaysToPay FROM FeesCollection_Details fcd JOIN FeesCollection fc ON fcd.Fees_Collection_ID = fc.Id WHERE fcd.BranchID IN (SELECT BranchID FROM UserAccountRoleDetails WHERE UserID = @UserId) AND fcd.Remaining_Amt = 0 AND fc.ChequeStatus_ID NOT IN (3, 4) AND (fc.IsDeleted IS NULL OR fc.IsDeleted = 0)",What is the average time taken by parents to clear dues after the due date?
524,7.3,FAIL,2,11.7,FAIL,FAIL_BOTH,ConcessionAppEntry,UserAccountRoleDetails.Branch_Id,,Concession_Master.ApprovalStatus,SELECT COUNT(*) AS PendingConcessionRequests FROM Concession_Master cm WHERE cm.BranchID IN (SELECT BranchID FROM UserAccountRoleDetails WHERE UserID = @UserId) AND cm.IsDeleted = 0 AND cm.ApprovalStatus = 0,How many fee concession or scholarship requests are currently pending management approval?
520,18.1,FAIL,1,18.4,FAIL,FAIL_BOTH,RTE_Details; RTE_Master,UserAccountRoleDetails.Branch_Id,RTE_Details; RTE_Master,,SELECT SUM(rtd.Amount) AS PendingRTE FROM RTE_Details rtd INNER JOIN RTE_Master rm ON rtd.HeaderID = rm.ID WHERE rm.BranchID IN (SELECT BranchID FROM UserAccountRoleDetails WHERE UserID = @UserId AND IsDeleted = 0) AND rm.IsDeleted = 0 AND rm.ApprovalStatus_ID = 1 AND (rm.PaidDate IS NULL OR rm.PaidDate > GETDATE()),How much RTE (Right to Education) reimbursement is currently pending from the government?
514,14.5,FAIL,2,21.7,PASS,PASS_RETRY,,StudentAcademicDetail.IsBoardApplicable; UserAccountRoleDetails.Branch_Id,,,SELECT COUNT(DISTINCT sad.StudentID) AS BoardEligibleStudents FROM StudentAcademicDetail sad JOIN Student_Master sm ON sad.StudentID = sm.ID WHERE (sad.IsTCIssued = 0 OR sad.IsTCIssued IS NULL) AND sad.AcademicYearID IN (SELECT Id FROM Branch_Academic_Details WHERE GETDATE() BETWEEN Start_Date AND End_Date AND Branch_Id IN (SELECT BranchID FROM UserAccountRoleDetails WHERE UserID = @UserId)) AND sm.BranchID IN (SELECT BranchID FROM UserAccountRoleDetails WHERE UserID = @UserId),how many students eligible for board exam registration
