audit_id,gen_s,finish_reason,verdict,unknown_tables,unknown_columns,issues,sql,question
591,10.3,stop,FAIL,StaffVerificationMaster,UserAccountRoleDetails.Branch_Id,[unknown_table] Table 'StaffVerificationMaster' does not exist in the schema. | [unknown_column] Column 'Branch_Id' does not exist on table 'UserAccountRoleDetails' (selected in the scoping subquery's select-list) — did you mean 'BranchID'?.,SELECT COUNT(*) AS PendingVerifications FROM Staff_Master sm INNER JOIN StaffVerificationMaster svm ON sm.Staff_ID = svm.StaffID WHERE sm.BranchID IN (SELECT Branch_Id FROM UserAccountRoleDetails WHERE UserID = @UserId) AND (sm.IsDeleted IS NULL OR sm.IsDeleted = 0) AND svm.VerificationStatus_ID = 1,How many new staff background verification checks are pending completion?
590,22.8,stop,FAIL,PerformanceParameterCountDetails,UserAccountRoleDetails.Branch_Id,[unknown_table] Table 'PerformanceParameterCountDetails' does not exist in the schema. | [unknown_column] Column 'Branch_Id' does not exist on table 'UserAccountRoleDetails' (selected in the scoping subquery's select-list) — did you mean 'BranchID'?. | [unknown_column] Column 'Branch_Id' does not exist on table 'UserAccountRoleDetails' (selected in the scoping subquery's select-list) — did you mean 'BranchID'?.,"SELECT sm.Staff_FirstName + ' ' + sm.Staff_LastName AS StaffName, ppc.AssessmentDate, ppc.Grade, ppc.Remarks FROM PerformanceParameterCountDetails ppc INNER JOIN Staff_Master sm ON ppc.StaffID = sm.Staff_ID WHERE ppc.BranchID IN (SELECT Branch_Id FROM UserAccountRoleDetails WHERE UserID = @UserId) AND ppc.AcademicYearID IN (SELECT Id FROM Branch_Academic_Details WHERE GETDATE() BETWEEN Start_Date AND End_Date AND Branch_Id IN (SELECT Branch_Id FROM UserAccountRoleDetails WHERE UserID = @UserId)) AND (ppc.IsDeleted IS NULL OR ppc.IsDeleted = 0) AND ppc.Grade < 'B' ORDER BY ppc.AssessmentDate DESC",Can you list staff members whose recent performance appraisal scores are below the expected threshold?
589,9.5,stop,FAIL,,LeaveEntryMaster.NetPay; LeaveEntryMaster.PaidAmount; UserAccountRoleDetails.Branch_Id,[unknown_column] Column 'NetPay' does not exist on table 'LeaveEntryMaster' (referenced as 'lem.NetPay'). | [unknown_column] Column 'PaidAmount' does not exist on table 'LeaveEntryMaster' (referenced as 'lem.PaidAmount'). | [unknown_column] Column 'Branch_Id' does not exist on table 'UserAccountRoleDetails' (selected in the scoping subquery's select-list) — did you mean 'BranchID'?.,SELECT SUM(lem.NetPay - lem.PaidAmount) AS TotalPending FROM LeaveEntryMaster lem WHERE (lem.IsDeleted = 0 OR lem.IsDeleted IS NULL) AND lem.LeaveStatus_ID = 1 AND lem.BranchID IN (SELECT Branch_Id FROM UserAccountRoleDetails WHERE UserID = @UserId),What is the total amount of staff advance or salary loan pending recovery?
587,27.3,stop,PASS,,,,"SELECT lem.Staff_ID, sm.Staff_FirstName + ' ' + sm.Staff_LastName AS StaffName FROM LeaveEntryMaster lem JOIN Staff_Master sm ON lem.Staff_ID = sm.Staff_ID WHERE (lem.IsDeleted = 0 OR lem.IsDeleted IS NULL) AND lem.LeaveStatus_ID = 1 AND MONTH(lem.LeaveFromDate) = MONTH(GETDATE()) AND YEAR(lem.LeaveFromDate) = YEAR(GETDATE()) AND NOT EXISTS (SELECT 1 FROM Staff_Attendance sa WHERE sa.Attendance_Date >= DATEADD(MONTH, DATEDIFF(MONTH, 0, lem.LeaveFromDate), 0) AND sa.Attendance_Date <= DATEADD(MONTH, DATEDIFF(MONTH, -1, lem.LeaveToDate), -1) AND sa.Staff_ID = lem.Staff_ID AND (sa.Attendance_Status_ID = 1 OR sa.Attendance_Status_ID = 2))",Are there any discrepancies between biometric attendance and approved leave applications this month?
584,16.9,stop,FAIL,,UserAccountRoleDetails.Branch_Id,[unknown_column] Column 'Branch_Id' does not exist on table 'UserAccountRoleDetails' (selected in the scoping subquery's select-list) — did you mean 'BranchID'?.,"SELECT CAST(AVG(CAST(YearsOfExperience AS FLOAT)) AS DECIMAL(5,1)) AS AvgExperience FROM ( SELECT sm.Staff_ID, DATEDIFF(YEAR, sm.Staff_DOJ, GETDATE()) AS YearsOfExperience FROM Staff_Master sm JOIN SubjectAllocation_Master sam ON sm.Staff_ID = sam.Staff_ID WHERE sm.StaffStatus_ID = 1 AND (sam.IsDeleted IS NULL OR sam.IsDeleted = 0) AND sm.BranchID IN (SELECT Branch_Id FROM UserAccountRoleDetails WHERE UserID = @UserId) ) AS TeachingStaff",What is the average years of experience of the teaching faculty in the senior secondary wing?
583,14.5,stop,FAIL,,Staff_Master.IsPOCSOCompleted; Staff_Master.IsPOSHCompleted; UserAccountRoleDetails.Branch_Id,[unknown_column] Column 'IsPOSHCompleted' does not exist on table 'Staff_Master' (referenced as 'sm.IsPOSHCompleted'). | [unknown_column] Column 'IsPOSHCompleted' does not exist on table 'Staff_Master' (referenced as 'sm.IsPOSHCompleted'). | [unknown_column] Column 'IsPOCSOCompleted' does not exist on table 'Staff_Master' (referenced as 'sm.IsPOCSOCompleted'). | [unknown_column] Column 'IsPOCSOCompleted' does not exist on table 'Staff_Master' (referenced as 'sm.IsPOCSOCompleted'). | [unknown_column] Column 'Branch_Id' does not exist on table 'UserAccountRoleDetails' (selected in the scoping subquery's select-list) — did you mean 'BranchID'?.,SELECT sm.Staff_FirstName + ' ' + sm.Staff_LastName AS StaffName FROM Staff_Master sm WHERE sm.BranchID IN (SELECT Branch_Id FROM UserAccountRoleDetails WHERE UserID = @UserId AND Role_ID IN (SELECT ID FROM StaffDesignationMaster WHERE Name = 'Principal')) AND (sm.IsPOSHCompleted IS NULL OR sm.IsPOSHCompleted = 0) OR (sm.IsPOCSOCompleted IS NULL OR sm.IsPOCSOCompleted = 0),Which staff members have not completed their mandatory POSH or child safety (POCSO) training?
579,20.1,stop,FAIL,,UserAccountRoleDetails.Branch_Id,[unknown_column] Column 'Branch_Id' does not exist on table 'UserAccountRoleDetails' (selected in the scoping subquery's select-list) — did you mean 'BranchID'?. | [unknown_column] Column 'Branch_Id' does not exist on table 'UserAccountRoleDetails' (selected in the scoping subquery's select-list) — did you mean 'BranchID'?.,"SELECT CAST(COUNT(DISTINCT CASE WHEN lem.LeaveStatus_ID = 1 THEN lem.Staff_ID END) * 100.0 / NULLIF(COUNT(DISTINCT lem.Staff_ID), 0) AS DECIMAL(5,2)) AS AttritionRate FROM LeaveEntryMaster lem WHERE lem.BranchID IN (SELECT Branch_Id FROM UserAccountRoleDetails WHERE UserID = @UserId AND IsDeleted = 0) AND lem.AcademicYearID IN (SELECT Id FROM Branch_Academic_Details WHERE GETDATE() BETWEEN Start_Date AND End_Date AND Branch_Id IN (SELECT Branch_Id FROM UserAccountRoleDetails WHERE UserID = @UserId AND IsDeleted = 0))",What is the staff attrition or turnover rate for the current academic year?
578,20.7,stop,FAIL,,LeaveEntryMaster.Branch_Id; LeaveEntryMaster.From_Date; LeaveEntryMaster.To_Date; UserAccountRoleDetails.Branch_Id,[unknown_column] Column 'From_Date' does not exist on table 'LeaveEntryMaster' (referenced as 'lem.From_Date'). | [unknown_column] Column 'To_Date' does not exist on table 'LeaveEntryMaster' (referenced as 'lem.To_Date'). | [unknown_column] Column 'Branch_Id' does not exist on table 'LeaveEntryMaster' (referenced as 'lem.Branch_Id'). | [unknown_column] Column 'Branch_Id' does not exist on table 'UserAccountRoleDetails' (selected in the scoping subquery's select-list) — did you mean 'BranchID'?.,"SELECT CASE WHEN lem.LeaveType_ID = 1 THEN 'Teaching' ELSE 'Non-Teaching' END AS StaffCategory, COUNT(*) AS OnLeave FROM LeaveEntryMaster lem INNER JOIN Staff_Master sm ON lem.Staff_ID = sm.Staff_ID WHERE CAST(GETDATE() AS DATE) BETWEEN lem.From_Date AND lem.To_Date AND (lem.IsDeleted = 0 OR lem.IsDeleted IS NULL) AND lem.LeaveStatus_ID = 1 AND sm.StaffStatus_ID = 1 AND lem.Branch_Id IN (SELECT Branch_Id FROM UserAccountRoleDetails WHERE UserId = @UserId) GROUP BY CASE WHEN lem.LeaveType_ID = 1 THEN 'Teaching' ELSE 'Non-Teaching' END",How many teaching and non-teaching staff members are on leave today?
577,22.8,stop,PASS,,,,"SELECT COUNT(DISTINCT sam.Staff_ID) AS TotalTeachers, COUNT(DISTINCT sad.StudentID) AS TotalStudents, CAST(COUNT(DISTINCT sad.StudentID) * 1.0 / NULLIF(COUNT(DISTINCT sam.Staff_ID), 0) AS DECIMAL(5,2)) AS TeacherStudentRatio FROM SubjectAllocation_Master sam INNER JOIN Staff_Master sm ON sam.Staff_ID = sm.Staff_ID INNER JOIN StudentAcademicDetail sad ON sam.Class_ID = sad.ClassID WHERE (sam.IsDeleted = 0 OR sam.IsDeleted IS NULL) AND sm.StaffStatus_ID = 1 AND sad.AcademicYearID IN (SELECT Id FROM Branch_Academic_Details WHERE GETDATE() BETWEEN Start_Date AND End_Date AND Branch_Id IN (@UserId))",What is the current teacher-to-student ratio across the school?
576,27.2,stop,FAIL,ProgressCardMarkDetails; ProgressCardMarkDetailsRetrieval,UserAccountRoleDetails.Branch_Id,[unknown_table] Table 'ProgressCardMarkDetails' does not exist in the schema. | [unknown_table] Table 'ProgressCardMarkDetailsRetrieval' does not exist in the schema. | [unknown_column] Column 'Branch_Id' does not exist on table 'UserAccountRoleDetails' (selected in the scoping subquery's select-list) — did you mean 'BranchID'?. | [unknown_column] Column 'Branch_Id' does not exist on table 'UserAccountRoleDetails' (selected in the scoping subquery's select-list) — did you mean 'BranchID'?.,"SELECT CAST(COUNT(DISTINCT CASE WHEN rmd.IsReEvaluated = 1 THEN pc.StudentID END) * 100.0 / NULLIF(COUNT(DISTINCT pc.StudentID), 0) AS DECIMAL(5,2)) AS ReEvaluationRate FROM ProgressCardDataRetrieval pc INNER JOIN ProgressCardMarkDetails pcmd ON pc.Id = pcmd.ProgressCardID INNER JOIN ProgressCardMarkDetailsRetrieval rmd ON pcmd.Id = rmd.MarkDetailID WHERE pc.BranchID IN (SELECT Branch_Id FROM UserAccountRoleDetails WHERE UserID = @UserId) AND pc.AcademicYearID IN (SELECT Id FROM Branch_Academic_Details WHERE GETDATE() BETWEEN Start_Date AND End_Date AND Branch_Id IN (SELECT Branch_Id FROM UserAccountRoleDetails WHERE UserID = @UserId)) AND (pc.IsDeleted = 0 OR pc.IsDeleted IS NULL) AND pc.ExamTypeID = 1",What is the rate of re-evaluation or re-checking requests for the recent board exams?
575,60.4,stop,FAIL,,ProgressCardDataRetrieval.ClassName,[unknown_column] Column 'ClassName' does not exist on table 'ProgressCardDataRetrieval' (referenced as 'pc.ClassName'). | [unknown_column] Column 'ClassName' does not exist on table 'ProgressCardDataRetrieval' (referenced as 'pc.ClassName').,"SELECT cm.Name AS ClassName, sub1.Name AS Subject1, sub2.Name AS Subject2, COUNT(DISTINCT sad.StudentID) AS StudentCount FROM StudentAcademicDetail sad JOIN Student_Master sm ON sad.StudentID = sm.ID JOIN ClassMaster cm ON sad.ClassID = cm.ID CROSS APPLY (SELECT MAX(CASE WHEN pc.SubjectName = 'Physics' THEN 1 END) AS Physics, MAX(CASE WHEN pc.SubjectName = 'Chemistry' THEN 1 END) AS Chemistry, MAX(CASE WHEN pc.SubjectName = 'Biology' THEN 1 END) AS Biology, MAX(CASE WHEN pc.SubjectName = 'Accountancy' THEN 1 END) AS Accountancy, MAX(CASE WHEN pc.SubjectName = 'Economics' THEN 1 END) AS Economics, MAX(CASE WHEN pc.SubjectName = 'Business Studies' THEN 1 END) AS BusinessStudies, MAX(CASE WHEN pc.SubjectName IN ('History', 'Geography', 'Political Science') THEN 1 END) AS Humanities FROM ProgressCardDataRetrieval pc WHERE pc.StudentID = sad.StudentID AND pc.ClassName = cm.Name AND (pc.IsDeleted = 0 OR pc.IsDeleted IS NULL)) sub1 CROSS APPLY (SELECT MAX(CASE WHEN pc.SubjectName = 'Computer Science' THEN 1 END) AS ComputerScience, MAX(CASE WHEN pc.SubjectName = 'Information Technology' THEN 1 END) AS IT FROM ProgressCardDataRetrieval pc WHERE pc.StudentID = sad.StudentID AND pc.ClassName = cm.Name AND (pc.IsDeleted = 0 OR pc.IsDeleted IS NULL)) sub2 WHERE cm.Name IN ('Class 11 Science', 'Class 11 Commerce', 'Class 11 Arts') AND (sad.IsTCIssued = 0 OR sad.IsTCIssued IS NULL) AND sad.AcademicYearID IN (SELECT Id FROM Branch_Academic_Details WHERE GETDATE() BETWEEN Start_Date AND End_Date AND Branch_Id IN (@UserId)) GROUP BY cm.Name, sub1.Name, sub2.Name ORDER BY StudentCount DESC","How many students have opted for each subject combination in Class 11 (Science, Commerce, Arts/Humanities)?"
573,22.4,stop,FAIL,,Student_Master.StaffShiftId; UserAccountRoleDetails.Branch_Id,[unknown_column] Column 'StaffShiftId' does not exist on table 'Student_Master' (referenced as 'sm.StaffShiftId'). | [unknown_column] Column 'StaffShiftId' does not exist on table 'Student_Master' (referenced as 'sm.StaffShiftId'). | [unknown_column] Column 'Branch_Id' does not exist on table 'UserAccountRoleDetails' (selected in the scoping subquery's select-list) — did you mean 'BranchID'?.,"SELECT CASE WHEN sm.StaffShiftId = 1 THEN 'Morning' ELSE 'Evening' END AS Shift, CAST(AVG(smd.Marks) AS DECIMAL(5,2)) AS AvgMarks FROM StudentMarkDetails smd INNER JOIN StudentMarkMaster smm ON smd.HeaderID = smm.ID INNER JOIN Student_Master sm ON smd.StudentID = sm.ID WHERE smd.BranchID IN (SELECT Branch_Id FROM UserAccountRoleDetails WHERE UserID = @UserId) AND smd.Deleted = 0 AND (smd.Others IS NULL OR NOT smd.Others IN ('AB', 'NT')) AND smm.Deleted = 0 GROUP BY CASE WHEN sm.StaffShiftId = 1 THEN 'Morning' ELSE 'Evening' END",What is the academic performance comparison between the morning and evening shifts (if applicable)?
572,20.3,stop,FAIL,,ProgressCardDataRetrieval.DepartmentName; UserAccountRoleDetails.Branch_Id,[unknown_column] Column 'DepartmentName' does not exist on table 'ProgressCardDataRetrieval' (referenced as 'pc.DepartmentName'). | [unknown_column] Column 'Branch_Id' does not exist on table 'UserAccountRoleDetails' (selected in the scoping subquery's select-list) — did you mean 'BranchID'?. | [unknown_column] Column 'Branch_Id' does not exist on table 'UserAccountRoleDetails' (selected in the scoping subquery's select-list) — did you mean 'BranchID'?.,"SELECT COUNT(DISTINCT pc.StudentID) AS StudentsPending FROM ProgressCardDataRetrieval pc INNER JOIN Subject_Master sub ON pc.SubjectID = sub.Id WHERE (pc.Marks IS NULL OR pc.Marks = '') AND (sub.Name LIKE '%Practical%' OR sub.Name LIKE '%Lab%') AND pc.DepartmentName IN ('Physics', 'Chemistry', 'Biology') AND pc.BranchID IN (SELECT Branch_Id FROM UserAccountRoleDetails WHERE UserID = @UserId) AND pc.AcademicYearID IN (SELECT Id FROM Branch_Academic_Details WHERE GETDATE() BETWEEN Start_Date AND End_Date AND Branch_Id IN (SELECT Branch_Id FROM UserAccountRoleDetails WHERE UserID = @UserId))",How many practical exam marks are pending submission for the science departments?
571,15.8,stop,FAIL,,ProgressCardDataRetrieval.PublishedDate; StudentMarkDetails.Student_ID; StudentMarkDetails.Subject_ID; StudentMarkDetails.SubmissionDate; UserAccountRoleDetails.Branch_Id,[unknown_column] Column 'SubmissionDate' does not exist on table 'StudentMarkDetails' (referenced as 'smd.SubmissionDate'). | [unknown_column] Column 'PublishedDate' does not exist on table 'ProgressCardDataRetrieval' (referenced as 'pc.PublishedDate'). | [unknown_column] Column 'Student_ID' does not exist on table 'StudentMarkDetails' (referenced as 'smd.Student_ID'). | [unknown_column] Column 'Subject_ID' does not exist on table 'StudentMarkDetails' (referenced as 'smd.Subject_ID'). | [unknown_column] Column 'PublishedDate' does not exist on table 'ProgressCardDataRetrieval' (referenced as 'pc.PublishedDate'). | [unknown_column] Column 'SubmissionDate' does not exist on table 'StudentMarkDetails' (referenced as 'smd.SubmissionDate'). | [unknown_column] Column 'Branch_Id' does not exist on table 'UserAccountRoleDetails' (selected in the scoping subquery's select-list) — did you mean 'BranchID'?.,"SELECT AVG(DATEDIFF(DAY, smd.SubmissionDate, pc.PublishedDate)) AS AvgDaysToPublish FROM ProgressCardDataRetrieval pc INNER JOIN StudentMarkDetails smd ON pc.StudentID = smd.Student_ID AND pc.SubjectID = smd.Subject_ID WHERE pc.BranchID IN (SELECT Branch_Id FROM UserAccountRoleDetails WHERE UserID = @UserId) AND (pc.IsDeleted = 0 OR pc.IsDeleted IS NULL) AND pc.PublishedDate IS NOT NULL AND smd.SubmissionDate IS NOT NULL",What is the average time taken by teachers to grade and publish exam results after the test?
569,11.2,stop,FAIL,,UserAccountRoleDetails.Branch_Id,[unknown_column] Column 'Branch_Id' does not exist on table 'UserAccountRoleDetails' (selected in the scoping subquery's select-list) — did you mean 'BranchID'?.,"SELECT cm.Name AS ClassName, COUNT(DISTINCT sam.Subject_ID) AS SubjectCount FROM SubjectAllocation_Master sam JOIN ClassMaster cm ON sam.Class_ID = cm.ID WHERE (sam.IsDeleted = 0 OR sam.IsDeleted IS NULL) AND sam.BranchID IN (SELECT Branch_Id FROM UserAccountRoleDetails WHERE UserID = @UserId) GROUP BY cm.Name ORDER BY cm.Name",What is the syllabus completion rate for each class as per teacher logs in the ERP?
568,14.5,stop,PASS,,,,SELECT COUNT(DISTINCT sad.StudentID) AS RemedialStudents FROM StudentAcademicDetail sad JOIN ClassMaster cm ON sad.ClassID = cm.ID WHERE (sad.IsTCIssued = 0 OR sad.IsTCIssued IS NULL) AND sad.AcademicYearID IN (SELECT Id FROM Branch_Academic_Details WHERE GETDATE() BETWEEN Start_Date AND End_Date AND Branch_Id IN (<scoping>)) AND cm.Name LIKE '%Remedial%' OR cm.Name LIKE '%Extra%',How many students are currently enrolled in remedial or extra coaching classes?
566,21.7,stop,FAIL,,StudentMarkDetails.GradePoint; UserAccountRoleDetails.Branch_Id,[unknown_column] Column 'GradePoint' does not exist on table 'StudentMarkDetails' (referenced as 'smd.GradePoint'). | [unknown_column] Column 'Branch_Id' does not exist on table 'UserAccountRoleDetails' (selected in the scoping subquery's select-list) — did you mean 'BranchID'?.,"SELECT bad.Name AS AcademicYear, CAST(AVG(smd.GradePoint) AS DECIMAL(3,2)) AS AvgGPA FROM StudentMarkDetails smd JOIN StudentMarkMaster smm ON smd.HeaderID = smm.ID JOIN Branch_Academic_Details bad ON smm.AcademicYearID = bad.Id WHERE smd.BranchID IN (SELECT Branch_Id FROM UserAccountRoleDetails WHERE UserID = @UserId) AND smd.Deleted = 0 AND (smd.Others IS NULL OR NOT smd.Others IN ('AB', 'NT', 'NA')) AND smm.Deleted = 0 AND bad.Start_Date >= DATEADD(YEAR, -3, GETDATE()) GROUP BY bad.Name ORDER BY bad.Name",What is the average GPA/CGPA trend across the school over the last 3 years?
559,22.9,stop,PASS,,,,SELECT COUNT(DISTINCT sad.StudentID) AS PresentButNoSwipe FROM StudentAcademicDetail sad JOIN Student_Master sm ON sad.StudentID = sm.ID JOIN ClassMaster cm ON sad.ClassID = cm.ID WHERE (sad.IsTCIssued = 0 OR sad.IsTCIssued IS NULL) AND sad.AcademicYearID IN (SELECT Id FROM Branch_Academic_Details WHERE GETDATE() BETWEEN Start_Date AND End_Date AND Branch_Id IN (<scoping>)) AND sm.BranchID IN (<scoping>) AND cm.Name = 'Class 1' AND NOT EXISTS (SELECT 1 FROM StudentAttendance sa WHERE sa.Student_ID = sad.StudentID AND sa.Attendance_Status_ID = 1 AND CAST(sa.Attendance_Date AS DATE) = CAST(GETDATE() AS DATE)),How many students are marked present in class but have not swiped their RFID/ID cards at the gate?
555,23.5,stop,PASS,,,,"SELECT CAST(sa.Attendance_Date AS DATE) AS AttDate, AVG(CAST(sa.Attendance_Status_ID = 1 AS FLOAT)) AS AvgDailyAttendance FROM StudentAttendance sa WHERE MONTH(sa.Attendance_Date) = MONTH(GETDATE()) AND YEAR(sa.Attendance_Date) = YEAR(GETDATE()) GROUP BY CAST(sa.Attendance_Date AS DATE) UNION ALL SELECT CAST(DATEADD(YEAR, -1, sa.Attendance_Date) AS DATE) AS AttDate, AVG(CAST(sa.Attendance_Status_ID = 1 AS FLOAT)) AS AvgDailyAttendance FROM StudentAttendance sa WHERE MONTH(sa.Attendance_Date) = MONTH(GETDATE()) AND YEAR(sa.Attendance_Date) = YEAR(GETDATE()) - 1 GROUP BY CAST(DATEADD(YEAR, -1, sa.Attendance_Date) AS DATE) ORDER BY AttDate",What is the daily average attendance trend compared to the same month last year?
